Warszawa,m.st. Warszawa[a],mazowieckie,51724,1794166,3469
Kraków,Kraków[a],małopolskie,32685,779966,2386
Łódź,Łódź[a],łódzkie,29325,672185,2292
Wrocław,Wrocław[a],dolnośląskie,29282,641928,2192
Poznań,Poznań[a],wielkopolskie,26191,532048,2031
Gdańsk,Gdańsk[a],pomorskie,26196,470805,1797
Szczecin,Szczecin[a],zachodniopomorskie,30060,398255,1325
Bydgoszcz,Bydgoszcz[a],kujawsko-pomorskie,17598,344091,1955
Lublin,Lublin[a],lubelskie,14747,338586,2296
Białystok,Białystok[a],podlaskie,10213,296958,2908
Katowice,Katowice[a],śląskie,16464,290553,1765
Gdynia,Gdynia[a],pomorskie,13514,244969,1813
Częstochowa,Częstochowa[a],śląskie,15971,217530,1362
Radom,Radom[a],mazowieckie,11180,209296,1872
Toruń,Toruń[a],kujawsko-pomorskie,11572,198613,1716
Rzeszów,Rzeszów[a],podkarpackie,12901,197863,1534
Sosnowiec,Sosnowiec[a],śląskie,9106,197586,2170
Kielce,Kielce[a],świętokrzyskie,10965,193415,1764
Gliwice,Gliwice[a],śląskie,13388,177049,1322
Olsztyn,Olsztyn[a],warmińsko-mazurskie,8833,171249,1939
Zabrze,Zabrze[a],śląskie,8040,170924,2126
Bielsko-Biała,Bielsko-Biała[a],śląskie,12451,169756,1363
Bytom,Bytom[a],śląskie,6944,163255,2351
Zielona Góra,Zielona Góra[a],lubuskie,27826,140892,506
Rybnik,Rybnik[a],śląskie,14836,137128,924
Ruda Śląska,Ruda Śląska[a],śląskie,7773,136423,1755
Opole,Opole[a],opolskie,14888,127839,859
Tychy,Tychy[a],śląskie,8181,126871,1551
Gorzów Wielkopolski,Gorzów Wielkopolski[a],lubuskie,8572,122589,1430
Elbląg,Elbląg[a],warmińsko-mazurskie,7982,118582,1486
Dąbrowa Górnicza,Dąbrowa Górnicza[a],śląskie,18873,118285,627
Płock,Płock[a],mazowieckie,8804,118268,1343
Wałbrzych,Wałbrzych[a],dolnośląskie,8470,109971,1298
Włocławek,Włocławek[a],kujawsko-pomorskie,8508,108561,1276
Tarnów,Tarnów[a],małopolskie,7238,107498,1485
Chorzów,Chorzów[a],śląskie,3324,106846,3214
Koszalin,Koszalin[a],zachodniopomorskie,9834,106235,1080
Kalisz,Kalisz[a],wielkopolskie,6942,99106,1428
Legnica,Legnica[a],dolnośląskie,5629,98436,1749
Grudziądz,Grudziądz[a],kujawsko-pomorskie,5776,93564,1620
Jaworzno,Jaworzno[a],śląskie,15259,90368,592
Słupsk,Słupsk[a],pomorskie,4315,89780,2081
Jastrzębie-Zdrój,Jastrzębie-Zdrój[a],śląskie,8533,88038,1032
Nowy Sącz,Nowy Sącz[a],małopolskie,5758,83558,1451
Jelenia Góra,Jelenia Góra[a],dolnośląskie,10922,78335,717
Siedlce,Siedlce[a],mazowieckie,3186,77813,2442
Mysłowice,Mysłowice[a],śląskie,6562,74559,1136
Konin,Konin[a],wielkopolskie,8231,72539,881
Piła,pilski,wielkopolskie,10268,72527,706
Piotrków Trybunalski,Piotrków Trybunalski[a],łódzkie,6724,72250,1075
Lubin,lubiński,dolnośląskie,4077,71710,1759
Inowrocław,inowrocławski,kujawsko-pomorskie,3042,71674,2356
Ostrów Wielkopolski,ostrowski,wielkopolskie,4190,71560,1708
Suwałki,Suwałki[a],podlaskie,6551,69639,1063
Stargard,stargardzki,zachodniopomorskie,4808,67579,1406
Gniezno,gnieźnieński,wielkopolskie,4060,67570,1664
Ostrowiec Świętokrzyski,ostrowiecki,świętokrzyskie,4643,67404,1452
Siemianowice Śląskie,Siemianowice Śląskie[a],śląskie,2550,66270,2599
Głogów,głogowski,dolnośląskie,3511,66120,1883
Pabianice,pabianicki,łódzkie,3299,63945,1938
Leszno,Leszno[a],wielkopolskie,3186,62854,1973
Żory,Żory[a],śląskie,6464,62844,972
Zamość,Zamość[a],lubelskie,3034,62785,2069
Pruszków,pruszkowski,mazowieckie,1919,62623,3263
Łomża,Łomża[a],podlaskie,3267,62573,1915
Ełk,ełcki,warmińsko-mazurskie,2105,61903,2941
Tarnowskie Góry,tarnogórski,śląskie,8388,61756,736
Tomaszów Mazowiecki,tomaszowski,łódzkie,4130,61338,1485
Chełm,Chełm[a],lubelskie,3528,61135,1733
Mielec,mielecki,podkarpackie,4689,60075,1281
Kędzierzyn-Koźle,kędzierzyńsko-kozielski,opolskie,12371,60021,485
Przemyśl,Przemyśl[a],podkarpackie,4617,59779,1295
Stalowa Wola,stalowowolski,podkarpackie,8252,59623,723
Tczew,tczewski,pomorskie,2238,59430,2655
Biała Podlaska,Biała Podlaska[a],lubelskie,4940,56942,1153
Bełchatów,bełchatowski,łódzkie,3464,56419,1629
Świdnica,świdnicki,dolnośląskie,2176,56222,2584
Będzin,będziński,śląskie,3737,56008,1499
Zgierz,zgierski,łódzkie,4233,55673,1315
Piekary Śląskie,Piekary Śląskie[a],śląskie,3998,54702,1368
Racibórz,raciborski,śląskie,7501,54259,723
Legionowo,legionowski,mazowieckie,1354,53529,3953
Ostrołęka,Ostrołęka[a],mazowieckie,3346,51656,1544
